Gene_id	Z_score
Tb927.1.1230	-11.43
Tb927.7.340	-10.86
Tb927.4.3360	-10.47
Tb927.10.10090	-9.44
Tb09.160.2650	-9.38
Tb927.8.6080	-9.27
Tb09.160.4860	-9.16
Tb11.01.6980	-9.04
Tb927.8.6870	-8.90
Tb09.211.1210	-8.87
Tb927.7.2320	-8.62
Tb927.8.2430	-8.62
Tb927.7.4350	-8.61
Tb927.3.1850	-8.34
Tb927.8.7230	-8.30
Tb927.3.1860	-8.30
Tb11.02.5810	-8.27
Tb927.10.7730	-8.23
Tb927.10.5970	-8.14
Tb09.160.2200	-8.02
Tb927.6.910	-7.98
Tb927.7.5740	-7.93
Tb927.7.4830	-7.92
Tb927.6.2010	-7.90
Tb11.01.5780	-7.90
Tb927.8.1350	-7.89
Tb927.10.2120	-7.84
Tb927.3.3340	-7.83
Tb11.01.4380	-7.82
Tb927.10.5900	-7.75
Tb927.7.3230	-7.66
Tb927.4.4040	-7.62
Tb927.8.3940	-7.60
Tb927.6.410	-7.60
Tb927.7.2250	-7.57
Tb11.02.2370	-7.52
Tb927.3.2190	-7.41
Tb11.02.1390	-7.41
Tb927.3.2860	-7.37
Tb927.10.1840	-7.35
Tb11.03.0950	-7.34
Tb927.3.4230	-7.32
Tb927.10.10320	-7.30
Tb927.5.1970	-7.30
Tb11.01.7510	-7.26
Tb11.18.0011	-7.25
Tb927.10.11180	-7.25
Tb927.8.5140	-7.24
Tb927.3.3290	-7.19
Tb927.10.13760	-7.17
Tb11.01.3280	-7.06
Tb09.211.0080	-7.06
Tb927.3.4490	-7.03
Tb927.10.2960	-7.02
Tb927.10.13920	-7.01
Tb09.v1.0130	-7.00
Tb927.8.5920	-7.00
Tb927.8.700	-6.96
Tb927.7.1650	-6.94
Tb927.5.1140	-6.94
Tb927.10.2230	-6.93
Tb11.01.8430	-6.91
Tb927.10.7110	-6.89
Tb927.2.2900	-6.87
Tb927.10.15400	-6.85
Tb927.10.3860	-6.85
Tb927.10.12980	-6.84
Tb927.3.4520	-6.84
Tb927.5.2140	-6.82
Tb927.10.7830	-6.78
Tb927.2.5660	-6.78
Tb11.03.0340	-6.77
Tb09.160.4460	-6.77
Tb927.8.4800	-6.77
Tb927.5.4050	-6.75
Tb927.7.3940	-6.75
Tb927.8.1130	-6.72
Tb927.10.16020	-6.72
Tb927.4.5330	-6.71
Tb927.5.1290	-6.69
Tb927.5.1250	-6.67
Tb927.10.12210	-6.67
Tb927.3.2230	-6.66
Tb11.18.0015	-6.66
Tb927.7.1490	-6.66
Tb11.01.4030	-6.66
Tb927.6.2520	-6.60
Tb09.v1.0310	-6.59
Tb927.4.650	-6.57
Tb927.7.3240	-6.56
Tb11.01.4620	-6.55
Tb927.8.5750	-6.55
Tb11.01.3640	-6.54
Tb11.02.0100	-6.54
Tb09.160.0550	-6.54
Tb927.3.4060	-6.53
Tb927.8.4530	-6.52
Tb927.8.780	-6.52
Tb11.46.0012	-6.52
Tb927.4.5150	-6.51
Tb927.4.4480	-6.50
Tb927.10.7420	-6.45
Tb927.7.4990	-6.45
Tb927.10.2620	-6.44
Tb927.6.1470	-6.44
Tb927.8.7800	-6.43
Tb09.211.3160	-6.41
Tb927.7.480	-6.41
Tb927.5.930	-6.41
Tb927.10.680	-6.40
Tb927.6.2470	-6.39
Tb11.02.5700	-6.36
Tb09.160.5270	-6.36
Tb927.10.13300	-6.35
Tb927.10.10120	-6.35
Tb927.3.4930	-6.35
Tb927.10.15320	-6.33
Tb927.7.2630	-6.33
Tb927.6.3940	-6.32
Tb11.01.8330	-6.30
Tb927.5.2740	-6.29
Tb927.10.10410	-6.27
Tb927.10.15460	-6.26
Tb11.01.1200	-6.26
Tb927.4.3290	-6.20
Tb927.7.5360	-6.18
Tb09.160.2450	-6.18
Tb927.8.1760	-6.17
Tb09.211.4990	-6.17
Tb927.10.2480	-6.16
Tb927.7.5380	-6.15
Tb11.01.0370	-6.15
Tb927.10.13390	-6.11
Tb927.1.4500	-6.11
Tb927.5.4460	-6.10
Tb927.3.3830	-6.09
Tb927.2.4950	-6.07
Tb927.8.8040	-6.04
Tb927.8.5120	-6.04
Tb927.1.3120	-6.04
Tb11.01.0500	-6.03
Tb927.8.3030	-6.02
Tb927.8.5890	-6.01
Tb09.211.0810	-6.01
Tb11.47.0011	-6.01
Tb11.01.4450	-5.99
Tb927.10.9230	-5.99
Tb927.5.300	-5.99
Tb11.01.4410	-5.98
Tb927.4.4210	-5.96
Tb927.8.2650	-5.94
Tb927.4.880	-5.93
Tb927.1.1160	-5.92
Tb927.10.7610	-5.92
Tb927.7.770	-5.91
Tb11.01.1020	-5.91
Tb927.10.1460	-5.91
Tb11.55.0014	-5.91
Tb927.3.2370	-5.90
Tb927.10.10440	-5.90
Tb11.02.4160	-5.88
Tb927.4.670	-5.88
Tb927.10.8070	-5.87
Tb11.52.0010	-5.85
Tb927.6.2440	-5.85
Tb927.10.7670	-5.84
Tb11.01.3370	-5.84
Tb927.3.3750	-5.84
Tb927.10.5570	-5.84
Tb927.3.1900	-5.83
Tb11.01.2940	-5.83
Tb927.10.13950	-5.83
Tb927.10.9990	-5.79
Tb11.01.1560	-5.79
Tb11.02.1070	-5.78
Tb11.01.5140	-5.78
Tb927.7.3400	-5.78
Tb927.7.2470	-5.77
Tb11.02.1850	-5.76
Tb927.10.15470	-5.76
Tb927.7.5240	-5.75
Tb09.160.2180	-5.75
Tb927.6.3190	-5.75
Tb927.10.4910	-5.74
Tb927.7.5410	-5.73
Tb09.160.1780	-5.73
Tb927.8.7060	-5.71
Tb927.10.2990	-5.71
Tb927.5.1800	-5.71
Tb11.01.7620	-5.70
Tb11.01.3250	-5.69
Tb927.3.1420	-5.68
Tb927.10.15730	-5.68
Tb927.5.2830	-5.64
Tb11.02.0170	-5.63
Tb927.8.7980	-5.63
Tb927.10.11280	-5.62
Tb927.10.4010	-5.62
Tb927.10.11350	-5.62
Tb11.01.3660	-5.61
Tb927.8.4950	-5.59
Tb927.3.4710	-5.59
Tb927.7.1300	-5.58
Tb927.7.6790	-5.58
Tb927.8.3080	-5.57
Tb927.10.9220	-5.55
Tb927.8.6730	-5.55
Tb927.8.2690	-5.55
Tb927.7.5190	-5.54
Tb09.160.4660	-5.53
Tb11.02.5050	-5.52
Tb09.211.1890	-5.51
Tb927.10.5290	-5.50
Tb927.10.9550	-5.47
Tb927.4.1600	-5.47
Tb927.8.5960	-5.47
Tb927.3.3150	-5.47
Tb927.8.2350	-5.46
Tb11.01.3790	-5.46
Tb927.10.3360	-5.46
Tb927.7.860	-5.45
Tb927.7.4240	-5.45
Tb11.02.2390	-5.45
Tb09.160.4870	-5.44
Tb09.160.2480	-5.43
Tb11.02.3650	-5.43
Tb927.5.1070	-5.43
Tb927.7.880	-5.43
Tb927.10.9390	-5.43
Tb927.10.11370	-5.42
Tb927.10.9950	-5.42
Tb11.18.0008	-5.41
Tb927.2.5140	-5.40
Tb927.7.2410	-5.40
Tb11.01.8350	-5.39
Tb927.4.2600	-5.39
Tb11.02.3340	-5.38
Tb927.10.16150	-5.37
Tb09.211.1280	-5.37
Tb927.4.1940	-5.36
Tb927.2.2340	-5.36
Tb09.211.0680	-5.36
Tb927.10.4820	-5.34
Tb927.10.7570	-5.34
Tb11.02.3520	-5.33
Tb927.10.6500	-5.33
Tb11.02.3110	-5.33
Tb11.02.3180	-5.33
Tb927.7.3080	-5.33
Tb11.01.4740	-5.33
Tb927.3.2800	-5.32
Tb927.2.3970	-5.32
Tb927.8.1480	-5.32
Tb11.01.5580	-5.32
Tb927.5.1950	-5.32
Tb927.6.2950	-5.32
Tb927.7.2270	-5.31
Tb11.01.1380	-5.31
Tb927.8.5680	-5.31
Tb11.02.2530	-5.31
Tb11.01.0950	-5.31
Tb927.10.9680	-5.30
Tb927.4.3150	-5.30
Tb09.211.0720	-5.30
Tb11.01.2660	-5.30
Tb927.6.3220	-5.29
Tb927.10.8810	-5.29
Tb927.4.2490	-5.28
Tb927.2.2570	-5.27
Tb11.01.2110	-5.26
Tb11.01.4900	-5.26
Tb927.8.6800	-5.26
Tb927.2.4590	-5.24
Tb927.7.2290	-5.24
Tb11.01.5850	-5.24
Tb927.4.1700	-5.22
Tb927.5.1530	-5.22
Tb927.5.4450	-5.21
Tb927.10.13210	-5.20
Tb09.211.1870	-5.20
Tb927.10.10850	-5.19
Tb927.10.480	-5.18
Tb11.12.0013	-5.18
Tb927.6.4170	-5.18
Tb927.7.5500	-5.18
Tb927.8.2160	-5.17
Tb11.02.4750	-5.16
Tb927.8.3620	-5.16
Tb927.10.5680	-5.16
Tb09.211.0140	-5.16
Tb927.4.3460	-5.15
Tb11.02.5580	-5.15
Tb927.10.7700	-5.14
Tb09.211.3880	-5.14
Tb927.3.3740	-5.13
Tb927.7.1180	-5.13
Tb11.46.0014	-5.12
Tb927.2.3330	-5.12
Tb927.3.4830	-5.12
Tb927.4.1690	-5.11
Tb11.03.0935	-5.10
Tb927.4.1480	-5.09
Tb927.10.1260	-5.08
Tb927.10.9080	-5.08
Tb11.01.3490	-5.08
Tb927.10.4030	-5.08
Tb927.8.5330	-5.07
Tb927.10.15010	-5.06
Tb927.7.6940	-5.06
Tb09.211.2900	-5.05
Tb927.8.3720	-5.05
Tb927.7.5080	-5.04
Tb927.1.4250	-5.04
Tb927.4.1820	-5.03
Tb927.10.12570	-5.03
Tb09.211.3530	-5.01
Tb09.211.3080	-5.01
Tb09.160.1010	-5.01
Tb927.8.6880	-5.00
Tb927.3.5390	-4.99
Tb927.1.4230	-4.98
Tb927.4.2920	-4.98
Tb11.01.8700	-4.98
Tb927.3.4940	-4.98
Tb927.2.4840	-4.98
Tb927.7.1450	-4.97
Tb09.211.1195	-4.97
Tb927.10.4130	-4.95
Tb927.6.4250	-4.95
Tb927.8.2190	-4.95
Tb927.7.2380	-4.94
Tb927.10.3650	-4.94
Tb927.8.1880	-4.92
Tb11.02.2960	-4.91
Tb927.10.6850	-4.91
Tb11.02.1620	-4.91
Tb09.211.0850	-4.91
Tb927.5.1870	-4.91
Tb09.211.4430	-4.90
Tb09.160.2220	-4.90
Tb927.1.670	-4.90
Tb927.8.1460	-4.90
Tb11.02.4180	-4.89
Tb09.211.4740	-4.89
Tb927.7.5350	-4.88
Tb11.02.5725	-4.88
Tb11.01.6270	-4.87
Tb927.3.1410	-4.87
Tb927.10.15420	-4.87
Tb11.02.5760	-4.87
Tb927.4.4980	-4.87
Tb927.10.8860	-4.87
Tb927.6.2080	-4.86
Tb927.10.3550	-4.86
Tb927.4.4370	-4.84
Tb927.5.4030	-4.84
