,Feature Name,dataset,PMID,OMICs,description
0,PCF_vs_BSF_pro,"Gunasekera K et al 2012, Urbaniak 2012, Urbaniak 2013, Butter et al. 2013",22574199;23067041;23485197;26910529,Proteomics,Log2 fold changes between the PCF and BSF Long Slender SILAC intensities are converted to Z-scores and averaged across 4 experiments
1,PCF_vs_BSFss_pro,Gunasekera K et al 2012,22574199,Proteomics,Log2 fold change between the PCF and BSF Short Stumpy SILAC intensities
2,CellCycle_max,Crozier TWM 2018,29555687,Proteomics,The time point with the maximum protein abundance during T. brucei PCF cell cycle
3,CellCycle_min,Crozier TWM 2018,29555687,Proteomics,The time point with the minimum protein abundance during T. brucei PCF cell cycle
4,CellCycle_min_max,Crozier TWM 2018,29555687,Proteomics,Log2 fold change between the maximum and minimum protein abundance time pointduring T. brucei PCF cell cycle
5,Abundance_BSF_pro,Tinti M and Güther MLS 2019,31681858,Proteomics,The log10 eXtracted Ion Current (XIC) of the SILAC heavy BSF sample averaged across biological replicates and time points
6,Abundance_PCF_pro,Tinti M and Güther MLS 2019,31681858,Proteomics,The log10 eXtracted Ion Current (XIC) of the SILAC heavy PCF sample averaged across biological replicates and time points
7,Apparent_vs_Computed_MW,Crozier TWM 2017,29042480,Proteomics,The log2 fold change between the computed molecular weight and the observedmolecular weight in size exclusion chromatografy of the PCF proteins'
8,Pro_in_Complex,Crozier TWM 2017,29042480,Proteomics,Binary value describing if a protein was detected (1) or not (0) in a portein complex'
9,BSF_to_PCF_pro_max_min,"Dejung M, 2016",26910529,Proteomics,Log2 fold change between the maximum and minimum protein abundancetime points during the PCF to BSF differentiation
10,BSF_to_PCF_pro_max,"Dejung M, 2016",26910529,Proteomics,The time point with the maximum protein abundance during the PCF to BSF differentiation
11,BSF_to_PCF_pro_min’,"Dejung M, 2016",26910529,Proteomics,The time point with the minimum protein abundance during the PCF to BSF differentiation
12,BSF_to_PCF_ma1_max_min,"Jensen BC et al, 2009",19840382,Trascriptomics / Microarrays,Log2 fold change between the maximum and minimum mRNA abundancetime points of five different life stages
13,BSF_to_PCF_ma1_max,"Jensen BC et al, 2009",19840382,Trascriptomics / Microarrays,The time point with the maximum mRNA abundance of five different life stages
14,BSF_to_PCF_ma1_min,"Jensen BC et al, 2009",19840382,Trascriptomics / Microarrays,The time point with the minimum mRNA abundance of five different life stages
15,BSF_to_PCF_ma2_max_min,"Queiroz R et al 2009, 2009",19857263,Trascriptomics / Microarrays,Log2 fold change between the maximum and minimum mRNA abundancetime points during the PCF to BSF differentiation
16,BSF_to_PCF_ma2_max,"Queiroz R et al 2009, 2009",19857263,Trascriptomics / Microarrays,The time point with the maximum mRNA abundance during the PCF to BSF differentiation
