Gene ID	source_id	Product Description	Input ID	
Tb06.3A7.270	Tb06.3A7.270:mRNA	hypothetical protein, conserved	Tb06.3A7.270	
Tb11.02.5105	Tb11.02.5105:mRNA	Present in the outer mitochondrial membrane proteome 15	Tb11.02.5105	
Tb11.02.5400	Tb11.02.5400:mRNA	cystathionine beta-synthase, putative	Tb11.02.5400	
Tb11.02.5420	Tb11.02.5420:mRNA	NADPH-cytochrome p450 reductase, putative	Tb11.02.5420	
Tb927.1.1000	Tb927.1.1000:mRNA	developmentally regulated phosphoprotein	Tb927.1.1000	
Tb927.1.1120	Tb927.1.1120:mRNA	ribosomal RNA-processing protein 8, putative	Tb927.1.1120	
Tb927.1.1130	Tb927.1.1130:mRNA	glycerol-3-phosphate dehydrogenase (FAD-dependent), putative	Tb927.1.1130	
Tb927.1.1150	Tb927.1.1150:mRNA	zeta tubulin	Tb927.1.1150	
Tb927.1.120	Tb927.1.120:mRNA	retrotransposon hot spot protein 4 (RHS4), putative	Tb927.1.120	
Tb927.1.1240	Tb927.1.1240:mRNA	cytidine triphosphate synthase, putative	Tb927.1.1240	
Tb927.1.1370	Tb927.1.1370:mRNA	rRNA biogenesis protein, putative	Tb927.1.1370	
Tb927.1.1380	Tb927.1.1380:mRNA	serine/threonine protein phosphatase 2A regulatory subunit, putative	Tb927.1.1380	
Tb927.1.1390	Tb927.1.1390:mRNA	hypothetical protein, conserved	Tb927.1.1390	
Tb927.1.1560	Tb927.1.1560:mRNA	vesicular-fusion protein nsf, putative	Tb927.1.1560	
Tb927.1.1580	Tb927.1.1580:mRNA	electron transport protein SCO1/2, putative	Tb927.1.1580	
Tb927.1.1610	Tb927.1.1610:mRNA	hypothetical protein, conserved	Tb927.1.1610	
Tb927.1.1630	Tb927.1.1630:mRNA	transcription elongation factor 1 homolog	Tb927.1.1630	
Tb927.1.1670	Tb927.1.1670:mRNA	ARM-like helical domain-containing protein	Tb927.1.1670	
Tb927.1.1680	Tb927.1.1680:mRNA	Transcription elongation factor 1 domain-containing protein	Tb927.1.1680	
Tb927.1.1700	Tb927.1.1700:mRNA	AATF protein, putative	Tb927.1.1700	
Tb927.1.1710	Tb927.1.1710:mRNA	transmembrane protein, conserved	Tb927.1.1710	
Tb927.1.1720	Tb927.1.1720:mRNA	cyclophilin 15, putative	Tb927.1.1720	
Tb927.1.1770	Tb927.1.1770:mRNA	Dithiol glutaredoxin 2	Tb927.1.1770	
Tb927.1.180	Tb927.1.180:mRNA	retrotransposon hot spot protein 1 (RHS1), putative	Tb927.1.180	
Tb927.1.190	Tb927.1.190:pseudogenic_transcript	retrotransposon hot spot protein (RHS, pseudogene), putative	Tb927.1.190	
Tb927.1.1930	Tb927.1.1930:mRNA	phosphatidylinositol 3-kinase, putative	Tb927.1.1930	
Tb927.1.1960	Tb927.1.1960:mRNA	chaperone protein DnaJ, putative	Tb927.1.1960	
Tb927.1.2100	Tb927.1.2100:mRNA	Calpain-like protein 1.1	Tb927.1.2100	
Tb927.1.2120	Tb927.1.2120:mRNA	Calpain-like protein CALP1.3	Tb927.1.2120	
Tb927.1.2190	Tb927.1.2190:mRNA	Raptor N-terminal CASPase like domain containing protein, putative	Tb927.1.2190	
Tb927.1.2230	Tb927.1.2230:mRNA	small myristoylated protein 1-1	Tb927.1.2230	
Tb927.1.2260	Tb927.1.2260:mRNA	small myristoylated protein 1-2	Tb927.1.2260	
Tb927.1.2330	Tb927.1.2330:mRNA	beta tubulin	Tb927.1.2330	
Tb927.1.2340	Tb927.1.2340:mRNA	alpha tubulin	Tb927.1.2340	
Tb927.1.240	Tb927.1.240:pseudogenic_transcript	retrotransposon hot spot protein (RHS, pseudogene), putative	Tb927.1.240	
Tb927.1.2430	Tb927.1.2430:mRNA	histone H3, putative	Tb927.1.2430	
Tb927.1.2570	Tb927.1.2570:mRNA	coatomer beta subunit	Tb927.1.2570	
Tb927.1.2580	Tb927.1.2580:mRNA	exosome-associated protein 1	Tb927.1.2580	
Tb927.1.2670	Tb927.1.2670:mRNA	paralyzed flagella 16	Tb927.1.2670	
