[Gene ID]	[source_id]	[Product Description]	[Input ID]	
Tb04.24M18.150	Tb04.24M18.150:mRNA	hypothetical protein, conserved	Tb04.24M18.150	
Tb04.3I12.100	Tb04.3I12.100:mRNA	hypothetical protein	Tb04.3I12.100	
Tb05.30F7.410	Tb05.30F7.410:mRNA	hypothetical protein	Tb05.30F7.410	
Tb06.3A7.270	Tb06.3A7.270:mRNA	hypothetical protein, conserved	Tb06.3A7.270	
Tb11.01.2730	Tb11.01.2730.1	hypothetical protein, conserved	Tb11.01.2730	
Tb11.02.5105	Tb11.02.5105:mRNA	Present in the outer mitochondrial membrane proteome 15	Tb11.02.5105	
Tb11.02.5360	Tb11.02.5360:mRNA	hypothetical protein, conserved	Tb11.02.5360	
Tb11.02.5380	Tb11.02.5380.1	exosome complex exonuclease RRP44p homologue	Tb11.02.5380	
Tb11.02.5400	Tb11.02.5400:mRNA	cystathionine beta-synthase, putative	Tb11.02.5400	
Tb11.02.5410	Tb11.02.5410:mRNA	ubiquitin activating enzyme (E1) subunit Aos1, putative	Tb11.02.5410	
Tb11.02.5430	Tb11.02.5430:mRNA	hypothetical protein, conserved	Tb11.02.5430	
Tb11.02.5440	Tb11.02.5440:mRNA	SUMO-interacting motif-containing protein	Tb11.02.5440	
Tb927.1.10	Tb927.1.10:mRNA	hypothetical protein	Tb927.1.10	
Tb927.1.1010	Tb927.1.1010:mRNA	E3 ubiquitin-protein ligase KCMF1, putative	Tb927.1.1010	
Tb927.1.1020	Tb927.1.1020:mRNA	leucine-rich repeat-containing protein	Tb927.1.1020	
Tb927.1.1030	Tb927.1.1030:mRNA	Nucleolar protein 49	Tb927.1.1030	
Tb927.1.110	Tb927.1.110:mRNA	hypothetical protein, conserved	Tb927.1.110	
Tb927.1.1140	Tb927.1.1140:mRNA	Transmembrane protein 231, putative	Tb927.1.1140	
Tb927.1.1160	Tb927.1.1160:mRNA	kinetoplast ribosomal PPR-repeat containing protein 3	Tb927.1.1160	
Tb927.1.1200	Tb927.1.1200:mRNA	Mitochondrial ribosomal protein S15	Tb927.1.1200	
